ax,ay,az,gx,gy,gz,mx,my,mz
-144.0,72.0,16392.0,-318.0,382.0,97.0,-110.0,-167.0,-388.0
-8.0,-80.0,16416.0,248.0,-130.0,228.0,-108.0,-162.0,-383.0
-240.0,40.0,16184.0,-207.0,393.0,32.0,-126.0,-167.0,-386.0
-368.0,-32.0,16344.0,170.0,-84.0,391.0,-106.0,-166.0,-384.0
-400.0,80.0,16528.0,-346.0,604.0,-112.0,-118.0,-160.0,-391.0
-200.0,232.0,16376.0,-390.0,654.0,-40.0,-116.0,-170.0,-393.0
-568.0,192.0,16424.0,-300.0,564.0,97.0,-117.0,-166.0,-399.0
-288.0,32.0,16336.0,48.0,-128.0,169.0,-121.0,-160.0,-393.0
-296.0,144.0,16552.0,212.0,-29.0,320.0,-122.0,-168.0,-387.0
-88.0,200.0,16368.0,156.0,-68.0,165.0,-121.0,-162.0,-391.0
-272.0,32.0,16328.0,219.0,-17.0,163.0,-112.0,-168.0,-397.0
-152.0,-120.0,16424.0,160.0,-557.0,116.0,-106.0,-168.0,-387.0
-360.0,-8.0,16240.0,-256.0,340.0,-92.0,-117.0,-166.0,-389.0
-288.0,16.0,16384.0,-331.0,289.0,-326.0,-108.0,-162.0,-391.0
